section,row_type,dataset_type,meeting_id,candidate_model,meeting_count,evaluator_run_count,accuracy_avg,completeness_avg,coverage_avg,accuracy_scores_by_evaluator,completeness_scores_by_evaluator,coverage_scores_by_evaluator,note,report_path
detail,meeting_model,city_council,t_295418528221287250041921315123836423951,gpt-5-mini,,2,0.865,0.839,0.939,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.904, ""gpt-5-2025-08-07"": 0.827}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.859, ""gpt-5-2025-08-07"": 0.819}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.939, ""gpt-5-2025-08-07"": 0.939}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_295418528221287250041921315123836423951/offline/evaluation_report_standard_gpt-5-mini.json
detail,meeting_model,city_council,t_295418528221287250041921315123836423951,gpt-51,,2,0.742,0.903,0.97,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.726, ""gpt-5-2025-08-07"": 0.758}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.869, ""gpt-5-2025-08-07"": 0.936}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.97, ""gpt-5-2025-08-07"": 0.97}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_295418528221287250041921315123836423951/offline/evaluation_report_standard_gpt-51.json
detail,meeting_model,city_council,t_302231191468361059160146080188341481527,gpt-41-mini,,2,0.693,0.804,0.756,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.731, ""gpt-5-2025-08-07"": 0.654}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.802, ""gpt-5-2025-08-07"": 0.807}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.791, ""gpt-5-2025-08-07"": 0.721}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_302231191468361059160146080188341481527/offline/evaluation_report_standard_gpt-41-mini.json
detail,meeting_model,city_council,t_302231191468361059160146080188341481527,gpt-5-mini,,2,0.596,0.864,0.861,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.692, ""gpt-5-2025-08-07"": 0.5}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.851, ""gpt-5-2025-08-07"": 0.877}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.907, ""gpt-5-2025-08-07"": 0.814}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_302231191468361059160146080188341481527/offline/evaluation_report_standard_gpt-5-mini.json
detail,meeting_model,city_council,t_302231191468361059160146080188341481527,gpt-51,,2,0.756,0.922,0.954,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.829, ""gpt-5-2025-08-07"": 0.683}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.866, ""gpt-5-2025-08-07"": 0.979}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.977, ""gpt-5-2025-08-07"": 0.93}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_302231191468361059160146080188341481527/offline/evaluation_report_standard_gpt-51.json
detail,meeting_model,city_council,t_309367437911403195908081074540947829369,gpt-41-mini,,2,0.533,0.831,0.812,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.533, ""gpt-5-2025-08-07"": 0.533}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.829, ""gpt-5-2025-08-07"": 0.833}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.75, ""gpt-5-2025-08-07"": 0.875}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_309367437911403195908081074540947829369/offline/evaluation_report_standard_gpt-41-mini.json
detail,meeting_model,city_council,t_309367437911403195908081074540947829369,gpt-5-mini,,2,0.643,0.863,0.938,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.667, ""gpt-5-2025-08-07"": 0.619}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.845, ""gpt-5-2025-08-07"": 0.88}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 1.0, ""gpt-5-2025-08-07"": 0.875}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_309367437911403195908081074540947829369/offline/evaluation_report_standard_gpt-5-mini.json
detail,meeting_model,city_council,t_309367437911403195908081074540947829369,gpt-51,,2,0.555,0.895,0.938,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.667, ""gpt-5-2025-08-07"": 0.444}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.897, ""gpt-5-2025-08-07"": 0.893}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.938, ""gpt-5-2025-08-07"": 0.938}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_309367437911403195908081074540947829369/offline/evaluation_report_standard_gpt-51.json
detail,meeting_model,city_council,t_319298185206145240523087481740297068110,gpt-41-mini,,2,0.812,0.791,0.941,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.812, ""gpt-5-2025-08-07"": 0.812}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.822, ""gpt-5-2025-08-07"": 0.76}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.941, ""gpt-5-2025-08-07"": 0.941}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_319298185206145240523087481740297068110/offline/evaluation_report_standard_gpt-41-mini.json
detail,meeting_model,city_council,t_319298185206145240523087481740297068110,gpt-5-mini,,2,0.896,0.839,1.0,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.917, ""gpt-5-2025-08-07"": 0.875}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.861, ""gpt-5-2025-08-07"": 0.817}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 1.0, ""gpt-5-2025-08-07"": 1.0}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_319298185206145240523087481740297068110/offline/evaluation_report_standard_gpt-5-mini.json
detail,meeting_model,city_council,t_319298185206145240523087481740297068110,gpt-51,,2,0.724,0.908,1.0,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.724, ""gpt-5-2025-08-07"": 0.724}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.868, ""gpt-5-2025-08-07"": 0.949}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 1.0, ""gpt-5-2025-08-07"": 1.0}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_319298185206145240523087481740297068110/offline/evaluation_report_standard_gpt-51.json
detail,meeting_model,city_council,t_319721751720091446506953863822689932873,gpt-41-mini,,2,0.728,0.786,0.9,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.773, ""gpt-5-2025-08-07"": 0.682}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.769, ""gpt-5-2025-08-07"": 0.804}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.9, ""gpt-5-2025-08-07"": 0.9}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_319721751720091446506953863822689932873/offline/evaluation_report_standard_gpt-41-mini.json
